contadorasf,idHabitacion,timestampx,statusx,Habitacion
1,12,5/31/2022,Sala no disponible.,Estación de revisión 1
2,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
3,12,5/31/2022,Sala disponible.,Estación de revisión 1
4,12,5/31/2022,Sala no disponible.,Estación de revisión 1
5,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
6,12,5/31/2022,Sala disponible.,Estación de revisión 1
7,13,5/31/2022,Sala no disponible.,Estación de revisión 2
8,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
9,13,5/31/2022,Sala disponible.,Estación de revisión 2
10,1,5/31/2022,Sala no disponible.,Sala de examenes 1
11,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
12,1,5/31/2022,Sala disponible.,Sala de examenes 1
13,2,5/31/2022,Sala no disponible.,Sala de examenes 2
14,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
15,12,5/31/2022,Sala no disponible.,Estación de revisión 1
16,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
17,12,5/31/2022,Sala disponible.,Estación de revisión 1
18,2,5/31/2022,Sala disponible.,Sala de examenes 2
19,6,5/31/2022,Sala no disponible.,Sala de procedimientos 1
20,6,5/31/2022,Inicia limpieza.,Sala de procedimientos 1
21,13,5/31/2022,Sala no disponible.,Estación de revisión 2
22,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
23,13,5/31/2022,Sala disponible.,Estación de revisión 2
24,12,5/31/2022,Sala no disponible.,Estación de revisión 1
25,6,5/31/2022,Sala disponible.,Sala de procedimientos 1
26,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
27,12,5/31/2022,Sala disponible.,Estación de revisión 1
28,13,5/31/2022,Sala no disponible.,Estación de revisión 2
29,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
30,13,5/31/2022,Sala disponible.,Estación de revisión 2
31,12,5/31/2022,Sala no disponible.,Estación de revisión 1
32,13,5/31/2022,Sala no disponible.,Estación de revisión 2
33,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
34,13,5/31/2022,Sala disponible.,Estación de revisión 2
35,1,5/31/2022,Sala no disponible.,Sala de examenes 1
36,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
37,13,5/31/2022,Sala no disponible.,Estación de revisión 2
38,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
39,13,5/31/2022,Sala disponible.,Estación de revisión 2
40,1,5/31/2022,Sala disponible.,Sala de examenes 1
41,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
42,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
43,5,5/31/2022,Sala disponible.,Sala de imagenes 1
44,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
45,12,5/31/2022,Sala disponible.,Estación de revisión 1
46,2,5/31/2022,Sala no disponible.,Sala de examenes 2
47,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
48,3,5/31/2022,Sala no disponible.,Sala de examenes 3
49,3,5/31/2022,Inicia limpieza.,Sala de examenes 3
50,3,5/31/2022,Sala disponible.,Sala de examenes 3
51,2,5/31/2022,Sala disponible.,Sala de examenes 2
52,4,5/31/2022,Sala no disponible.,Sala de examenes 4
53,4,5/31/2022,Inicia limpieza.,Sala de examenes 4
54,4,5/31/2022,Sala disponible.,Sala de examenes 4
55,12,5/31/2022,Sala no disponible.,Estación de revisión 1
56,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
57,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
58,5,5/31/2022,Sala disponible.,Sala de imagenes 1
59,6,5/31/2022,Sala no disponible.,Sala de procedimientos 1
60,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
61,6,5/31/2022,Inicia limpieza.,Sala de procedimientos 1
62,12,5/31/2022,Sala disponible.,Estación de revisión 1
63,6,5/31/2022,Sala disponible.,Sala de procedimientos 1
64,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
65,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
66,5,5/31/2022,Sala disponible.,Sala de imagenes 1
67,7,5/31/2022,Sala no disponible.,Sala de procedimientos 2
68,7,5/31/2022,Inicia limpieza.,Sala de procedimientos 2
69,1,5/31/2022,Sala no disponible.,Sala de examenes 1
70,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
71,1,5/31/2022,Sala disponible.,Sala de examenes 1
72,7,5/31/2022,Sala disponible.,Sala de procedimientos 2
73,12,5/31/2022,Sala no disponible.,Estación de revisión 1
74,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
75,12,5/31/2022,Sala disponible.,Estación de revisión 1
76,2,5/31/2022,Sala no disponible.,Sala de examenes 2
77,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
78,12,5/31/2022,Sala no disponible.,Estación de revisión 1
