idHabitacion,timestampx,statusx,Habitacion
12,5/31/2022,Sala no disponible.,Estación de revisión 1
12,5/31/2022,Inicia limpieza.,Estación de revisión 1
12,5/31/2022,Sala disponible.,Estación de revisión 1
12,5/31/2022,Sala no disponible.,Estación de revisión 1
12,5/31/2022,Inicia limpieza.,Estación de revisión 1
12,5/31/2022,Sala disponible.,Estación de revisión 1
13,5/31/2022,Sala no disponible.,Estación de revisión 2
13,5/31/2022,Inicia limpieza.,Estación de revisión 2
13,5/31/2022,Sala disponible.,Estación de revisión 2
1,5/31/2022,Sala no disponible.,Sala de examenes 1
1,5/31/2022,Inicia limpieza.,Sala de examenes 1
1,5/31/2022,Sala disponible.,Sala de examenes 1
2,5/31/2022,Sala no disponible.,Sala de examenes 2
2,5/31/2022,Inicia limpieza.,Sala de examenes 2
12,5/31/2022,Sala no disponible.,Estación de revisión 1
12,5/31/2022,Inicia limpieza.,Estación de revisión 1
12,5/31/2022,Sala disponible.,Estación de revisión 1
2,5/31/2022,Sala disponible.,Sala de examenes 2
6,5/31/2022,Sala no disponible.,Sala de procedimientos 1
6,5/31/2022,Inicia limpieza.,Sala de procedimientos 1
13,5/31/2022,Sala no disponible.,Estación de revisión 2
13,5/31/2022,Inicia limpieza.,Estación de revisión 2
13,5/31/2022,Sala disponible.,Estación de revisión 2
12,5/31/2022,Sala no disponible.,Estación de revisión 1
6,5/31/2022,Sala disponible.,Sala de procedimientos 1
12,5/31/2022,Inicia limpieza.,Estación de revisión 1
12,5/31/2022,Sala disponible.,Estación de revisión 1
13,5/31/2022,Sala no disponible.,Estación de revisión 2
13,5/31/2022,Inicia limpieza.,Estación de revisión 2
13,5/31/2022,Sala disponible.,Estación de revisión 2
12,5/31/2022,Sala no disponible.,Estación de revisión 1
13,5/31/2022,Sala no disponible.,Estación de revisión 2
13,5/31/2022,Inicia limpieza.,Estación de revisión 2
13,5/31/2022,Sala disponible.,Estación de revisión 2
1,5/31/2022,Sala no disponible.,Sala de examenes 1
1,5/31/2022,Inicia limpieza.,Sala de examenes 1
13,5/31/2022,Sala no disponible.,Estación de revisión 2
13,5/31/2022,Inicia limpieza.,Estación de revisión 2
13,5/31/2022,Sala disponible.,Estación de revisión 2
